busqueda,farmacia,descripcion,precio_clp,precio_uf
paracetamol,Ahumada,Paracetamol 500 mg x 16 Comprimidos,995,0.03
paracetamol,Ahumada,Tapsin 1g Efervescente X 20 Sobres,8095,0.24
paracetamol,Ahumada,Tramadol /Paracetamol 325/37.5 Mg 30c R,8195,0.25
paracetamol,Ahumada,Gesidol Paracetamol Bioe.1gr X 20comp,6995,0.21
paracetamol,Ahumada,Tapsin 160 mg x 16 Comprimidos Masticables,3045,0.09
paracetamol,Ahumada,Tapsin 100 mg/mL  x 15 mL Solución Oral Para Gotas,3995,0.12
paracetamol,Ahumada,Kitadol 100 mg/mL x 15 mL Solución Oral Para Gotas,3195,0.1
paracetamol,Ahumada,Tapsin Compuesto Dia 5 g x 6 Sobres Polvo Para Solución Oral,3445,0.1
paracetamol,Ahumada,Kitadol 120 mg/5 mL x 60 mL Jarabe,8995,0.27
paracetamol,Ahumada,Tapsin 1000 mg SC x 20 Comprimidos Recubiertos,8695,0.26
paracetamol,Ahumada,Kitadol Forte x 10 Comprimidos Recubiertos,2095,0.06
paracetamol,Ahumada,Tapsin M 30 Cap,4195,0.13
paracetamol,Ahumada,Tapsin Nocturno Caja 12 Comp.Displ.,1445,0.04
paracetamol,Ahumada,Tapsin Limon Miel Jengibre Dia X 6,3495,0.11
paracetamol,Ahumada,Predual Caja 10 Comp.,2395,0.07
paracetamol,Ahumada,Xumadol 1 g x 20 Comprimidos,9395,0.28
paracetamol,Ahumada,Tapsin Instaflu DN x 18 Comprimidos,6445,0.19
paracetamol,Ahumada,Sevedol x 12 Comprimidos,2995,0.09
paracetamol,Ahumada,Tapsin Periodo x 12 Comprimidos,1995,0.06
paracetamol,Ahumada,Tapsin Forte x 20 Comprimidos Recubiertos,3645,0.11
paracetamol,Ahumada,Nastul Compuesto x 100 mL Jarabe,8945,0.27
paracetamol,Ahumada,Panadol Extra Advance 65/500 mg x 14 Comprimidos Recubiertos,3095,0.09
paracetamol,Ahumada,Tapsin x 12 Comprimidos,1845,0.06
paracetamol,Ahumada,Tapsin Puro Sin Cafeina 500 mg x 24 Comprimidos,2595,0.08
paracetamol,Ahumada,Cotibin Día Y Noche x 21 Comprimidos Recubiertos,4195,0.13
paracetamol,Ahumada,Tapsin M x 10 Comprimidos Recubiertos,2895,0.09
paracetamol,Ahumada,Tapsin Periodo x 30 Comprimidos,3695,0.11
paracetamol,Ahumada,Tapsin Forte x 30 Comprimidos Recubiertos,3945,0.12
paracetamol,Ahumada,Tapsin x 30 Comprimidos,3395,0.1
paracetamol,Ahumada,Panadol 80 mg x 20 Comprimidos Masticables,3295,0.1
paracetamol,Ahumada,Tapsin DN Dia/Noche x 18 Cápsulas,3495,0.11
paracetamol,Ahumada,Tapsin Compuesto Noche 5 g x 6 Sobres Polvo Para Solución Oral,3495,0.11
paracetamol,Ahumada,Nastizol Dia - Noche Caja 18 Comp.,3995,0.12
paracetamol,Ahumada,Cronus x 20 Comprimidos,19195,0.58
paracetamol,Ahumada,Zafin x 28 Comprimidos Recubiertos,26895,0.81
paracetamol,Ahumada,Zaldiar x 20 Comprimidos Recubiertos,25895,0.78
paracetamol,Ahumada,Tapsin Compuesto Dia 5 g x 1 Sobre Polvo Para Solución Oral,745,0.02
paracetamol,Ahumada,Tapsin Compuesto Noche 5 g x 1 Sobre Polvo Para Solución Oral,745,0.02
paracetamol,Ahumada,Bio Electro 10 Comprimidos,3484,0.11
paracetamol,Ahumada,DESDOL CAJA 20 COMP. REC.,8195,0.25
paracetamol,Ahumada,Nastigrip Dia Noche x 18 Comprimidos,1995,0.06
paracetamol,Ahumada,Panadol Niños 100mg/Ml Gotas 15ml,2795,0.08
paracetamol,Ahumada,"Cronotan 37,5/325mg Caja 30comp",14795,0.45
paracetamol,Ahumada,Doloten  30comp Rec,18195,0.55
paracetamol,Ahumada,Kitadol 500 mg x 24 Comprimidos,995,0.03
paracetamol,Ahumada,Kitadol 1 g x 18 Comprimidos,6595,0.2
paracetamol,Ahumada,Panadol Niños 160mg/5ml Jarabe 90ml,7595,0.23
paracetamol,Ahumada,Panadol Advance 500mg x 12 Comprimidos,3245,0.1
paracetamol,Ahumada,"Tramavolta 37,5 mg/325 mg x 30 Comprimidos Recubiertos",9295,0.28
paracetamol,Ahumada,Brevex x 20 Comprimidos Recubiertos,12195,0.37
paracetamol,Ahumada,Gesidol Infantil 120 mg/5 mL x 100 mL Jarabe,8595,0.26
paracetamol,Ahumada,Panadol Advance 500mg x 48 Comprimidos,5995,0.18
paracetamol,Ahumada,Zafin Caja 14 Comp. Rec,15895,0.48
paracetamol,Ahumada,Zaledor P x 30 Comprimidos Recubiertos,11995,0.36
paracetamol,Ahumada,Nastizol Compositum x 15 mL Solución Oral Para Gotas,10295,0.31
paracetamol,Ahumada,Tapsin Limon Miel Jengibre Noche X 6,3495,0.11
paracetamol,Ahumada,Trioval X 100 Ml Suspensión Oral,15095,0.46
paracetamol,Ahumada,Termo-Niofen x 120 mL Suspensión Oral,14895,0.45
paracetamol,Ahumada,Kitadol Duo X 10 Comp,2995,0.09
paracetamol,Ahumada,Winasorb 150 mg/5 mL x 60 mL Jarabe,7195,0.22
paracetamol,Ahumada,Supracalm 1 g x 20 Comprimidos Recubiertos,10995,0.33
